Year	Lat	Lon	Depth	Mag
1975.138128	36.54	-89.55	5	1.4
1975.146347	35.95	-89.98	5	2.1
1975.146347	36.16	-89.78	5	2.2
1975.154566	36.74	-89.49	13	2.3
1975.162785	37.8	-89.3	5	2.3
1975.165525	36.42	-89.54	5	2.1
1975.169406	36.55	-89.58	5	1.4
1975.169406	36.05	-89.87	5	2.1
1975.174886	38.06	-89.05	5	2.1
1975.188584	36.55	-89.63	5	1.5
1975.194064	36.34	-89.44	5	1.6
1975.196804	37.36	-89.17	5	1.6
1975.199543	36.31	-89.51	5	1.6
1975.202283	36.53	-89.56	5	3.3
1975.202283	36.42	-89.64	5	1.5
1975.205023	35.83	-90.23	5	1.9
1975.210502	36.55	-89.58	5	1.4
1975.213242	36.55	-89.57	5	1.6
1975.221461	36.08	-89.84	5	1.7
1975.221461	36.3	-89.49	5	1.4
1975.22968	38.4	-90.13	5	2.1
1975.243379	36.22	-89.94	5	1.7
1975.255479	36.62	-89.8	2	1.7
1975.258219	36.23	-89.92	5	1.7
1975.258219	36.53	-89.57	5	1.7
1975.258219	37.44	-89.49	5	1.6
1975.271918	36.51	-89.55	5	2.2
1975.271918	36.49	-89.58	5	1.6
1975.277397	36.08	-90.01	5	2.1
1975.280137	36.08	-89.8	5	1.8
1975.291096	36.39	-89.59	5	1.5
1975.293836	36.52	-89.54	5	1.4
1975.296575	35.99	-90.04	5	1.6
1975.302055	36.58	-89.62	5	1.3
1975.302055	36.24	-89.56	5	1.6
1975.304795	36.07	-89.31	5	1.9
1975.310274	36.56	-89.56	5	1.5
1975.315753	36.24	-89.54	5	1.8
1975.344292	36.67	-89.54	5	2.1
1975.357991	36.9	-91.11	5	1.8
1975.36895	35.48	-90.47	5	2
1975.377169	36.51	-89.21	5	1.6
1975.379909	38.43	-88.94	5	2.1
1975.385388	36.08	-89.85	5	1.8
1975.388128	38.03	-88.51	5	2.3
1975.393607	36.57	-89.63	5	1.5
1975.393607	36.13	-89.75	5	2.1
1975.396347	37.62	-89.74	5	2.1
1975.399087	36.15	-89.72	5	1.8
1975.412785	36.14	-89.37	5	1.8
1975.424886	36.25	-89.47	5	1.4
1975.424886	36.73	-89.5	5	1.4
1975.433105	36.31	-89.58	3	2.3
1975.435845	36	-89.3	5	1.9
1975.441324	36.14	-89.56	5	1.9
1975.444064	36.56	-89.81	5	1.4
1975.449543	36.19	-89.71	5	2.3
1975.457763	36.13	-89.55	5	1.4
1975.468721	36.46	-89.6	5	1.5
1975.468721	36.52	-89.63	5	1.1
1975.4879	36.6	-89.66	5	1.5
1975.493379	36.36	-89.61	5	1.1
1975.50274	36.56	-89.86	5	2.1
1975.505479	36.52	-89.56	5	1.3
1975.508219	36.5	-89.5	5	1.4
1975.519178	36.55	-89.56	5	1.5
1975.519178	36.53	-89.73	5	1
1975.527397	36.27	-89.52	5	1.6
1975.535616	36.57	-89.6	5	1.7
1975.535616	36.54	-89.68	2	4.3
1975.541096	36.22	-89.66	5	2.2
1975.541096	36.49	-89.54	5	1.5
1975.543836	36.52	-89.61	5	1.3
1975.543836	36.55	-89.66	5	1.7
1975.546575	36.29	-89.44	5	2.4
1975.546575	36.52	-89.63	5	1.3
1975.552055	36.5	-89.64	5	1.6
1975.554795	38.2	-90.2	5	2.4
1975.554795	36.21	-89.44	7.3	3.3
1975.563014	36.02	-90.01	5	2.3
1975.571233	36.42	-89.54	5	1.6
1975.573973	35.78	-90.42	5	2.3
1975.576712	36.57	-89.66	5	1.8
1975.597032	36.13	-89.78	5	1.8
1975.599772	36.19	-89.49	5	2.5
1975.605251	36.1	-89.53	5	2.1
1975.610731	36.44	-89.53	5	1.6
1975.632648	37.23	-90.89	5	1.8
1975.643607	36.26	-89.48	5	1.4
1975.646347	36.48	-89.58	5	1.5
1975.649087	36.49	-89.54	5	1.9
1975.654566	36.39	-89.54	5	1.5
1975.683105	36.66	-89.8	5	1.4
1975.683105	36.66	-89.66	5	1.4
1975.691324	36.59	-89.59	5	2
1975.691324	36.88	-89.43	5	2.1
1975.696804	36.64	-89.57	5	1.7
1975.710502	36.31	-89.47	5	1.4
1975.721461	36.72	-89.54	5	1.3
1975.721461	36.56	-89.8	5	2.3
1975.72968	36.24	-89.49	5	1.4
1975.72968	36.18	-89.48	5	1.7
